north,5
noted,5
novel,5
nude,4
null,4
numb,4
nuts,4
obese,5
odd,3
off,3
often,5
okay,4
older,5
oldest,6
old,3
olive,5
only,4
open,4
optic,5
oral,4
orange,6
outer,5
oval,4
over,4
owing,5
paced,5
pagan,5
pale,4
pan,3
paper,5
party,5
par,3
passed,6
pass,4
past,4
patent,6
pat,3
peaked,6
pearl,5
pedal,5
petty,5
piano,5
picked,6
pink,4
pissed,6
plain,5
plane,5
plum,4
plural,6
plus,4
poetic,6
polar,5
polite,6
poorly,6
poor,4
pops,4
pop,3
postal,6
potent,6
pretty,6
prime,5
prior,5
prompt,6
prone,5
proof,5
proper,6
proud,5
proven,6
pro,3
pseudo,6
psycho,6
public,6
punk,4
pure,4
purple,6
pushed,6
pussy,5
queer,5
quick,5
quiet,5
quit,4
racial,6
racing,6
racist,6
rainy,5
raised,6
random,6
randy,5
ranged,6
rank,4
rapid,5
rare,4
rash,4
raw,3
ready,5
read,4
real,4
recent,6
red,3
refer,5
remote,6
rental,6
retail,6
rich,4
ridden,6
rights,6
right,5
rigid,5
riley,5
ripe,4
rising,6
risky,5
ritual,6
robust,6
rocky,5
roman,5
rooted,6
rotary,6
rotate,6
rotten,6
rough,5
round,5
royal,5
rude,4
rugged,6
ruling,6
rum,3
rural,5
rush,4
rusty,5
sacred,6
sad,3
safe,4
sage,4
said,4
sales,5
salty,5
salt,4
same,4
sandy,5
sane,4
sap,3
savage,6
saving,6
savvy,5
scaled,6
scarce,6
scary,5
scenic,6
scrub,5
sealed,6
second,6
secret,6
secure,6
sec,3
select,6
self,4
senior,6
serial,6
set,3
severe,6
sexism,6
sexist,6
sexual,6
sexy,4
shady,5
shaped,6
sharp,5
sheer,5
shiny,5
shitty,6
shock,5
short,5
shot,4
shut,4
shy,3
sick,4
sic,3
side,4
signal,6
silent,6
silly,5
silver,6
simple,6
single,6
sixth,5
sized,5
skinny,6
skin,4
ski,3
slack,5
slate,5
sleepy,6
slick,5
slight,6
slim,4
sloppy,6
slow,4
small,5
smart,5
smooth,6
sneaky,6
sober,5
social,6
soft,4
solar,5
sold,4
sole,4
solid,5
solo,4
sonic,5
sore,4
sorry,5
sound,5
sour,4
south,5
soviet,6
spare,5
spec,4
speedy,6
spent,5
spicy,5
spinal,6
spiral,6
spoken,6
spooky,6
spread,6
spun,4
square,6
stable,6
staged,6
staple,6
stark,5
star,4
stated,6
static,6
steady,6
steep,5
stereo,6
stern,5
sticky,6
stiff,5
still,5
stock,5
strait,6
straw,5
stray,5
strict,6
strong,6
struck,6
stuck,5
stupid,6
subtle,6
sudden,6
suited,6
sung,4
sunk,4
sunny,5
superb,6
super,5
sure,4
sweaty,6
sweet,5
swell,5
swift,5
sworn,5
tail,4
taking,6
tall,4
tame,4
tandem,6
tan,3
tasty,5
teen,4
tender,6
tense,5
tenth,5
then,4
thick,5
thin,4
third,5
thru,4
tidal,5
tidy,4
tied,4
tight,5
timely,6
tiny,4
tin,3
tired,5
titled,6
told,4
tony,4
torn,4
total,5
tough,5
toward,6
toxic,5
tragic,6
tribal,6
tricky,6
trim,4
triple,6
troy,4
trying,6
twin,4
ugly,4
ultra,5
unable,6
uneven,6
unfair,6
unfit,5
unique,6
united,6
unlike,6
unpaid,6
unreal,6
unsafe,6
unseen,6
unsure,6
unused,6
upbeat,6
upper,5
upset,5
upward,6
urban,5
urgent,6
usable,6
used,4
useful,6
usual,5
utmost,6
vacant,6
vague,5
vain,4
valid,5
valued,6
varied,6
vast,4
verbal,6
very,4
viable,6
vice,4
vile,4
viral,5
virgin,6
visual,6
vital,5
vivid,5
vocal,5
vogue,5
voiced,6
void,4
vulgar,6
walnut,6
wan,3
ware,4
warm,4
wary,4
war,3
waste,5
waved,5
weak,4
weary,5
weekly,6
wee,3
weird,5
well,4
west,4
wet,3
white,5
whole,5
wicked,6
wider,5
wide,4
wild,4
windy,5
wired,5
wiring,6
wise,4
witty,5
wizard,6
wooden,6
woody,5
wood,4
worked,6
worn,4
worse,5
worst,5
worthy,6
worth,5
wrath,5
wrong,5
yearly,6
yellow,6
young,5
zero,4
zoning,6
