plunk,5
poco,4
pokily,6
poorly,6
pop,3
posh,4
post,4
presto,6
pretty,6
primly,6
prompt,6
pronto,6
proper,6
proud,5
pro,3
purely,6
quick,5
quite,5
racily,6
rankly,6
rarely,6
rashly,6
rather,6
rawly,5
really,6
redly,5
retail,6
retrad,6
richly,6
rifely,6
righty,6
right,5
ripely,6
ropily,6
rosily,6
rough,5
round,5
ruddy,5
rudely,6
ruffly,6
sadly,5
safely,6
safe,4
sagely,6
same,4
sanely,6
say,3
scant,5
scarce,6
seaman,6
second,6
seemly,6
seldom,6
semel,5
sempre,6
sexily,6
sharp,5
sheer,5
shily,5
short,5
shyly,5
sicker,6
sickly,6
sic,3
simply,6
simul,5
since,5
singly,6
sith,4
sixth,5
skeigh,6
skiech,6
slack,5
slap,4
slier,5
slily,5
slowly,6
slow,4
slyly,5
smack,5
small,5
smart,5
smash,5
smooth,6
smugly,6
snap,4
snodly,6
snugly,6
soever,6
softly,6
soft,4
solely,6
soli,4
solo,4
some,4
sooner,6
soon,4
sorely,6
sore,4
sound,5
sourly,6
south,5
spang,5
spryly,6
square,6
stably,6
stag,4
stark,5
steady,6
stiff,5
stilly,6
still,5
stone,5
strome,6
strong,6
suably,6
subito,6
subtly,6
such,4
sudden,6
summer,6
supply,6
supra,5
surely,6
sure,4
sweet,5
swift,5
swith,5
syne,4
tails,5
tandem,6
tangly,6
tanto,5
tarnal,6
tartly,6
tenth,5
tenuto,6
termly,6
that,4
thence,6
then,4
there,5
the,3
thick,5
thinly,6
thin,4
third,5
this,4
though,6
tho,3
thrice,6
thru,4
thusly,6
thus,4
thwart,6
tidily,6
tight,5
timely,6
tinily,6
tiptoe,6
tiptop,6
today,5
ton,3
too,3
tough,5
tout,4
trebly,6
trimly,6
trim,4
triply,6
troppo,6
trop,4
truly,5
tutti,5
twice,5
ubique,6
uglily,6
ultimo,6
under,5
unduly,6
unfar,5
unidly,6
uphill,6
uptown,6
upward,6
upwind,6
usward,6
vainly,6
vastly,6
veloce,6
verily,6
very,4
vilely,6
vite,4
vivace,6
vivo,4
vowely,6
warily,6
warmly,6
war,3
waur,4
wavily,6
waxily,6
way,3
weakly,6
weekly,6
week,4
well,4
west,4
wetly,5
wham,4
what,4
whence,6
when,4
where,5
whiles,6
whilom,6
whole,5
wholly,6
why,3
widely,6
wide,4
wildly,6
wild,4
wilily,6
withal,6
within,6
wit,3
worse,5
worst,5
wrong,5
wryly,5
yarely,6
yare,4
yeah,4
yearly,6
yea,3
yep,3
yes,3
yet,3
yonder,6
yore,4
ywis,4
zanily,6
zigzag,6
